Epic,User_Story,Domain,Story_Type,Priority,Effort,Sprint,Workflow,Touches,Notes
Workspaces,"As an admin, I want to create a workspace and invite members with roles so that my team can track time together.",workspace,Backend Only,P1,M,Sprint 1,/new-domain-dynamo,"likely: packages/workspace-domain/**,apps/workspace/**,packages/contracts/workspace/**","DynamoDB domain. members[] with role ADMIN/MANAGER/MEMBER."
Projects,"As an admin, I want to create a project with an hourly rate and a budget in hours so that work can be tracked against it.",project,Backend Only,P1,M,Sprint 1,/new-domain-dynamo,"likely: packages/project-domain/**,apps/project/**,packages/contracts/project/**","DynamoDB domain. GSI1 by workspaceId. status ACTIVE/ARCHIVED."
Projects,"As a manager, I want to list projects in my workspace with cursor pagination so that large workspaces stay fast.",project,Backend Only,P2,S,Sprint 1,/new-feature,"likely: packages/project-domain/**,apps/project/**","Cursor pagination via GSI1 (workspaceId). Golden Rule #16 — no offset."
Time Tracking,"As a member, I want to start and stop a timer on a project so that my hours are recorded.",timeentry,Backend Only,P0,L,Sprint 2,/new-domain-dynamo,"likely: packages/timeentry-domain/**,apps/timeentry/**,packages/contracts/timeentry/**","DynamoDB domain. GSI1 user+startedAt, GSI2 project+startedAt. At most one running timer per user. Actor from @CurrentUser (#23)."
Time Tracking,"As a member, I want to view my time entries for a date range so that I can check my week.",timeentry,Backend Only,P2,S,Sprint 2,/new-feature,"likely: packages/timeentry-domain/**,apps/timeentry/**","Query GSI1 (user + startedAt range), cursor paginated."
Time Tracking,"As a member, I want to add or edit a time entry manually for a past date so that I can log time I forgot to track with the live timer.",timeentry,Full Stack Backend+Webapp,P1,M,Sprint 4,/full-stack-feature,"likely: packages/timeentry-domain/**,apps/timeentry/**,apps/webapp/src/app/time/**","Manual-entry modal (Add time entry). Still passes IProjectValidator ACL. Both startedAt+stoppedAt set; durationSeconds derived. data-testid: create-timeentry-form."
Project Membership (ACL),"As the system, I want starting a timer to synchronously verify the project is ACTIVE and the user is a workspace member before recording it so that time cannot be logged to invalid projects.",cross-domain,Backend Only,P0,M,Sprint 2,/new-feature,"likely: packages/timeentry-domain/src/application/interfaces/**,packages/timeentry-domain/src/infrastructure/clients/**","ACL — apply sync-cross-service-call skill. IProjectValidator validates project status + workspace membership. getOutboundHeaders() (#24). Golden Rule #14."
Timesheet Approval Saga,"As a member, I want to submit my weekly timesheet so that it goes to my manager for review.",timeentry,Backend Only,P1,M,Sprint 3,/new-feature,"likely: packages/timeentry-domain/**,apps/timeentry/**,packages/contracts/timeentry/**","Sets entries SUBMITTED and publishes TIMESHEET_SUBMITTED with totalHours. Saga step 0."
Timesheet Approval Saga,"As the system, I want a submitted timesheet to be checked against the project budget asynchronously so that overruns are flagged automatically.",cross-domain,Event-Driven (SQS Consumer),P0,L,Sprint 3,/new-event-service,"likely: apps/project/project-event-handler-service/**,packages/contracts/timeentry/**,packages/contracts/project/**","Saga step 1 — apply choreography-saga skill. project-event-handler aggregates hours vs budgetHours; replies BUDGET_OK | BUDGET_EXCEEDED. Idempotent."
Timesheet Approval Saga,"As a manager, I want the timesheet to be auto-approved or flagged when the budget check returns so that I only review exceptions.",cross-domain,Event-Driven (SQS Consumer),P0,M,Sprint 3,/new-event-service,"likely: apps/timeentry/timeentry-event-handler-service/**,packages/contracts/project/**","Saga step 2. timeentry-event-handler consumes BUDGET_OK/BUDGET_EXCEEDED; timesheet APPROVED | FLAGGED; FLAGGED fans out manager notification. Replay = no-op."
Projects,"As a manager, I want a webapp dashboard of projects with budget-burn badges so that I can spot overruns.",project,Webapp Only,P2,M,Sprint 4,/webapp-feature,"likely: apps/webapp/src/app/projects/**,apps/webapp/src/components/projects/**","Thin-orchestrator page + data-table + status-variants.ts. data-testid: projects-table."
Time Tracking,"As a member, I want a webapp timer widget and timesheet view so that I can track and submit time.",timeentry,Full Stack Backend+Webapp,P1,L,Sprint 4,/full-stack-feature,"likely: packages/timeentry-domain/**,apps/timeentry/**,apps/webapp/src/app/time/**,packages/client-common/**","Client hooks in client-common. Form via react-hook-form + Zod from @old-st/contracts/timeentry."
Mobile Tracking,"As a member, I want a mobile timer so that I can start and stop tracking away from my desk.",timeentry,Mobile Only,P3,L,Sprint 5,/mobile-feature,"likely: apps/mobile/**,packages/client-common/**","Reuses client-common hooks. Expo screen. Note: + mobile."
