Epic,User_Story,Domain,Story_Type,Priority,Effort,Sprint,Workflow,Touches,Notes
Customer Directory,"As an admin, I want to register a customer with a support tier so that SLA targets reflect their plan.",customer,Backend Only,P1,M,Sprint 1,/new-domain,"likely: packages/customer-domain/**,apps/customer/**,packages/contracts/customer/**","Prisma domain. tier FREE/PRO/ENTERPRISE."
Agent Roster,"As an admin, I want to register an agent with availability and a capacity limit so that routing can pick the right person.",agent,Backend Only,P0,M,Sprint 1,/new-domain,"likely: packages/agent-domain/**,apps/agent/**,packages/contracts/agent/**","Prisma domain. status AVAILABLE/BUSY/OFFLINE; openTicketCount guarded by maxCapacity (default 5)."
Agent Onboarding,"As an admin, I want adding an agent to provision their login with the AGENT role via an email invite so that they can start working tickets.",cross-domain,Backend Only,P1,M,Sprint 1,/new-feature,"likely: packages/agent-domain/src/infrastructure/clients/**,apps/auth/**","Provisioning. agent.create calls auth admin-create/invite with AGENT role (sync cross-service, getOutboundHeaders #24); stores userId. Apply sync-cross-service-call skill."
Agent Onboarding,"As an admin, I want an Add agent modal capturing name, email, team and capacity so that I can onboard agents quickly.",agent,Webapp Only,P2,S,Sprint 5,/webapp-feature,"likely: apps/webapp/src/app/agents/**","Modal form; on submit creates agent + triggers the invite. data-testid: create-agent-form."
Ticketing,"As a customer, I want to raise a ticket with a subject, description and priority so that support can help me.",ticket,Backend Only,P0,L,Sprint 2,/new-domain,"likely: packages/ticket-domain/**,apps/ticket/**,packages/contracts/ticket/**","Prisma domain. Persist OPEN. slaDueAt derived from priority. comments relation. Actor from @CurrentUser (#23)."
Ticketing,"As an agent, I want to list tickets filtered by status and priority so that I can work the queue.",ticket,Backend Only,P2,S,Sprint 2,/new-feature,"likely: packages/ticket-domain/**,apps/ticket/**","Offset pagination (Prisma). Golden Rule #16."
Agent Assignment (ACL),"As the system, I want assigning a ticket to synchronously verify the agent is AVAILABLE and under capacity before persisting so that I never overload an agent.",cross-domain,Backend Only,P0,M,Sprint 2,/new-feature,"likely: packages/ticket-domain/src/application/interfaces/**,packages/ticket-domain/src/infrastructure/clients/**","ACL — apply sync-cross-service-call skill. IAgentValidator validates status + capacity. getOutboundHeaders() (#24). Golden Rule #14."
Auto-Routing Saga,"As the system, I want a new ticket to be auto-routed to an available agent asynchronously so that customers get a fast first response.",cross-domain,Event-Driven (SQS Consumer),P0,L,Sprint 3,/new-event-service,"likely: apps/agent/agent-event-handler-service/**,packages/contracts/ticket/**,packages/contracts/agent/**","Saga step 1 — apply choreography-saga skill. ticket publishes TICKET_CREATED; agent-event-handler runs PickAvailableAgentUseCase (lowest load); replies TICKET_ASSIGNED | NO_AGENT_AVAILABLE. Idempotent."
Auto-Routing Saga,"As an agent, I want a routed ticket to land in my queue or escalate when nobody is free so that nothing falls through the cracks.",cross-domain,Event-Driven (SQS Consumer),P0,M,Sprint 3,/new-event-service,"likely: apps/ticket/ticket-event-handler-service/**,packages/contracts/agent/**","Saga step 2. ticket-event-handler consumes TICKET_ASSIGNED/NO_AGENT_AVAILABLE; OPEN->ASSIGNED (set assignedAgentId) | ESCALATED. Replay = no-op."
SLA Management,"As a support lead, I want tickets that breach their SLA to be escalated automatically so that urgent issues surface.",ticket,Event-Driven (SQS Consumer),P1,M,Sprint 4,/new-event-service,"likely: apps/ticket/ticket-event-handler-service/**","SLA-breach timer publishes TICKET_SLA_BREACHED; handler transitions to ESCALATED. Idempotent."
Ticketing,"As an agent, I want a webapp ticket workspace with status badges and resolve/escalate actions so that I can work efficiently.",ticket,Full Stack Backend+Webapp,P1,L,Sprint 4,/full-stack-feature,"likely: packages/ticket-domain/**,apps/ticket/**,apps/webapp/src/app/tickets/**,packages/client-common/**","Client hooks in client-common. Action menu + status-variants.ts. data-testid: tickets-table."
Ticketing,"As a customer, I want a webapp portal to raise a ticket and track its status so that I can self-serve.",ticket,Webapp Only,P2,M,Sprint 5,/webapp-feature,"likely: apps/webapp/src/app/support/**,apps/webapp/src/components/tickets/**","Form via react-hook-form + Zod from @old-st/contracts/ticket."
Agent Roster,"As an admin, I want a webapp agent roster showing load and availability so that I can balance the team.",agent,Webapp Only,P3,S,Sprint 5,/webapp-feature,"likely: apps/webapp/src/app/agents/**","Offset-paginated data-table with capacity badges."
