Epic,User_Story,Domain,Story_Type,Priority,Effort,Sprint,Workflow,Touches,Notes
Employee Directory,"As an HR admin, I want to register an employee with a manager and starting leave balances so that they can request time off.",employee,Backend Only,P1,M,Sprint 1,/new-domain,"likely: packages/employee-domain/**,apps/employee/**,packages/contracts/employee/**","Prisma domain. status ACTIVE/INACTIVE/ON_LEAVE; annual + sick balances; self-FK managerId."
Employee Onboarding,"As an HR admin, I want adding an employee to provision their login via an email invite so that new staff can sign in and request leave.",cross-domain,Backend Only,P1,M,Sprint 1,/new-feature,"likely: packages/employee-domain/src/infrastructure/clients/**,apps/auth/**","Provisioning. employee.create calls auth admin-create/invite (sync cross-service, getOutboundHeaders #24); stores userId link. Apply sync-cross-service-call skill."
Employee Onboarding,"As an HR admin, I want an Add employee modal capturing name, email, department, manager and starting balances so that I can onboard staff in one step.",employee,Webapp Only,P2,S,Sprint 5,/webapp-feature,"likely: apps/webapp/src/app/employees/**","Modal form; on submit creates employee + triggers the invite. data-testid: create-employee-form."
Holiday Calendar,"As an HR admin, I want to maintain a public-holiday calendar so that leave-day counts exclude holidays.",holiday,Backend Only,P2,S,Sprint 1,/new-domain,"likely: packages/holiday-domain/**,apps/holiday/**,packages/contracts/holiday/**","Prisma domain. date + year (indexed) + recurring."
Leave Requests,"As an employee, I want to submit a leave request for a date range and type so that my manager can approve it.",leave,Backend Only,P0,L,Sprint 2,/new-domain,"likely: packages/leave-domain/**,apps/leave/**,packages/contracts/leave/**","Prisma domain. Persist DRAFT. leaveType ANNUAL/SICK/UNPAID. days excludes weekends+holidays. Actor from @CurrentUser (#23)."
Leave Requests,"As an HR admin, I want to list leave requests filtered by status and employee so that I can audit the queue.",leave,Backend Only,P2,S,Sprint 2,/new-feature,"likely: packages/leave-domain/**,apps/leave/**","Offset pagination (Prisma). Golden Rule #16."
Eligibility Check (ACL),"As the system, I want submitting a request to synchronously verify the employee is ACTIVE, has a manager, and has enough balance before persisting so that invalid requests never enter the queue.",cross-domain,Backend Only,P0,M,Sprint 2,/new-feature,"likely: packages/leave-domain/src/application/interfaces/**,packages/leave-domain/src/infrastructure/clients/**","ACL — apply sync-cross-service-call skill. IEmployeeValidator validates status + manager + balance. getOutboundHeaders() (#24). Golden Rule #14."
Balance Reservation Saga,"As the system, I want a submitted request to reserve the employee's leave balance asynchronously so that overlapping requests cannot overspend the balance.",cross-domain,Event-Driven (SQS Consumer),P0,L,Sprint 3,/new-event-service,"likely: apps/employee/employee-event-handler-service/**,packages/contracts/leave/**,packages/contracts/employee/**","Saga step 1 — apply choreography-saga skill. leave publishes LEAVE_REQUEST_SUBMITTED; employee-event-handler runs ReserveLeaveBalanceUseCase (transactional); replies BALANCE_RESERVED | BALANCE_INSUFFICIENT. Idempotent."
Balance Reservation Saga,"As an employee, I want my request to move to pending approval or be rejected automatically when the balance check returns so that I know where I stand.",cross-domain,Event-Driven (SQS Consumer),P0,M,Sprint 3,/new-event-service,"likely: apps/leave/leave-event-handler-service/**,packages/contracts/employee/**","Saga step 2. leave-event-handler consumes BALANCE_RESERVED/BALANCE_INSUFFICIENT; DRAFT->PENDING_APPROVAL | REJECTED. Replay = no-op."
Approval Workflow,"As a manager, I want to approve or reject a pending request so that the employee's balance is deducted or released.",leave,Backend Only,P1,M,Sprint 3,/new-feature,"likely: packages/leave-domain/**,apps/leave/**,apps/employee/employee-event-handler-service/**","On approve publish LEAVE_APPROVED; employee handler deducts reserved balance + sets ON_LEAVE. Only assigned managerId may approve."
Leave Requests,"As an employee, I want a webapp page to submit a leave request and see my balance so that I can self-serve.",leave,Full Stack Backend+Webapp,P1,L,Sprint 4,/full-stack-feature,"likely: packages/leave-domain/**,apps/leave/**,apps/webapp/src/app/leave/**,packages/client-common/**","Form via react-hook-form + Zod from @old-st/contracts/leave. Client hooks in client-common."
Approval Workflow,"As a manager, I want a webapp approval queue with status badges and approve/reject actions so that I can process requests quickly.",leave,Webapp Only,P2,M,Sprint 4,/webapp-feature,"likely: apps/webapp/src/app/leave/approvals/**,apps/webapp/src/components/leave/**","Thin-orchestrator page + data-table + status-variants.ts + action menu. data-testid: leave-requests-table."
Employee Directory,"As an HR admin, I want a webapp employee directory with balances so that I can manage staff.",employee,Webapp Only,P3,M,Sprint 5,/webapp-feature,"likely: apps/webapp/src/app/employees/**","Offset-paginated data-table."
Mobile Leave,"As an employee, I want a mobile screen to request leave and check my balance so that I can apply from anywhere.",leave,Mobile Only,P3,L,Sprint 5,/mobile-feature,"likely: apps/mobile/**,packages/client-common/**","Reuses client-common hooks. Expo screen + form. Note: + mobile."
