Epic,User_Story,Domain,Story_Type,Priority,Effort,Sprint,Workflow,Touches,Notes
Asset Catalogue,"As an IT admin, I want to register an asset with a tag, category and condition so that it can be tracked and loaned.",asset,Backend Only,P1,M,Sprint 1,/new-domain,"likely: packages/asset-domain/**,apps/asset/**,packages/contracts/asset/**","Prisma domain. Scaffold entity + repo + CRUD use cases. Status enum AVAILABLE/RESERVED/ON_LOAN/MAINTENANCE/RETIRED."
Asset Catalogue,"As an IT admin, I want to list and filter assets by status and category so that I can see what is available.",asset,Backend Only,P2,S,Sprint 1,/new-feature,"likely: packages/asset-domain/**,apps/asset/**","Offset pagination (Prisma). Golden Rule #16 — no cursor."
Borrower Directory,"As an IT admin, I want to register a borrower with a department and a max-loans limit so that checkout limits are enforced.",borrower,Backend Only,P1,M,Sprint 1,/new-domain,"likely: packages/borrower-domain/**,apps/borrower/**,packages/contracts/borrower/**","Prisma domain. activeLoanCount guarded against maxLoans (default 3)."
Loan Lifecycle,"As a borrower, I want to request a loan for an available asset so that I can use the equipment.",loan,Backend Only,P0,M,Sprint 2,/new-domain,"likely: packages/loan-domain/**,apps/loan/**,packages/contracts/loan/**","Prisma domain. Persist loan REQUESTED. Actor from @CurrentUser (#23)."
Asset Availability (ACL),"As the system, I want loan checkout to synchronously verify the asset is AVAILABLE before persisting so that I never create a loan for a busy asset.",cross-domain,Backend Only,P0,M,Sprint 2,/new-feature,"likely: packages/loan-domain/src/application/interfaces/**,packages/loan-domain/src/infrastructure/clients/**","ACL — apply sync-cross-service-call skill. IAssetValidator port + HTTP adapter to asset-api-service. getOutboundHeaders() (#24). Golden Rule #14."
Loan Reservation Saga,"As the system, I want a LOAN_REQUESTED event to reserve the asset asynchronously so that concurrent requests cannot double-book it.",cross-domain,Event-Driven (SQS Consumer),P0,L,Sprint 2,/new-event-service,"likely: apps/asset/asset-event-handler-service/**,packages/contracts/loan/**,packages/contracts/asset/**","Saga step 1 — apply choreography-saga skill. loan publishes LOAN_REQUESTED; asset-event-handler runs ReserveAssetUseCase; replies ASSET_RESERVED | ASSET_UNAVAILABLE. Idempotent."
Loan Reservation Saga,"As the system, I want the loan to resolve to ACTIVE or REJECTED when the asset reply arrives so that the borrower gets a final answer.",cross-domain,Event-Driven (SQS Consumer),P0,M,Sprint 2,/new-event-service,"likely: apps/loan/loan-event-handler-service/**,packages/contracts/asset/**","Saga step 2. loan-event-handler consumes ASSET_RESERVED/ASSET_UNAVAILABLE; transitions REQUESTED->ACTIVE (set checkoutAt) | REJECTED. Replay = no-op."
Loan Lifecycle,"As a borrower, I want to return a loan so that the asset becomes available for others.",loan,Backend Only,P1,M,Sprint 3,/new-feature,"likely: packages/loan-domain/**,apps/loan/**,apps/asset/asset-event-handler-service/**","POST /loans/:id/return publishes LOAN_RETURNED; asset handler flips asset back to AVAILABLE. Idempotent."
Asset Catalogue,"As an IT admin, I want a webapp page to browse and manage assets with status badges so that I can administer the catalogue.",asset,Webapp Only,P2,M,Sprint 3,/webapp-feature,"likely: apps/webapp/src/app/assets/**,apps/webapp/src/components/assets/**","Thin-orchestrator page + data-table + status-variants.ts. data-testid: assets-table."
Loan Lifecycle,"As a borrower, I want a webapp screen to browse available assets and request a loan so that I can self-serve.",loan,Full Stack Backend+Webapp,P1,L,Sprint 3,/full-stack-feature,"likely: packages/loan-domain/**,apps/loan/**,apps/webapp/src/app/loans/**,packages/client-common/**","Form via react-hook-form + Zod from @old-st/contracts/loan. Client hooks in client-common."
Loan Lifecycle,"As an IT admin, I want to see all active and overdue loans in a table so that I can chase returns.",loan,Webapp Only,P2,S,Sprint 4,/webapp-feature,"likely: apps/webapp/src/app/loans/**","Filter by status. OVERDUE derived from dueAt."
Mobile Checkout,"As a borrower, I want a mobile screen to scan and request an asset loan on the go so that I can borrow from the equipment room.",loan,Mobile Only,P3,L,Sprint 4,/mobile-feature,"likely: apps/mobile/**,packages/client-common/**","Reuses client-common hooks. Expo screen + form. Note: + mobile."
