Epic,User_Story,Domain,Story_Type,Priority,Effort,Sprint,Workflow,Touches,Notes
Event Management,"As an organizer, I want to create an event with a capacity and a registration window so that attendees can sign up.",event,Backend Only,P0,M,Sprint 1,/new-domain-dynamo,"likely: packages/event-domain/**,apps/event/**,packages/contracts/event/**","DynamoDB domain. capacity + seatsReserved counter; status DRAFT/OPEN/SOLD_OUT/CLOSED."
Event Management,"As an organizer, I want to publish an event so that registration opens within its window.",event,Backend Only,P1,S,Sprint 1,/new-feature,"likely: packages/event-domain/**,apps/event/**","POST /events/:id/publish transitions DRAFT->OPEN. Actor from @CurrentUser (#23)."
Sessions,"As an organizer, I want to add sessions to an event so that attendees can plan their day.",session,Backend Only,P2,M,Sprint 2,/new-domain-dynamo,"likely: packages/session-domain/**,apps/session/**,packages/contracts/session/**","DynamoDB domain. GSI1 by eventId. Per-session capacity."
Registration,"As an attendee, I want to register for an event so that I can attend.",registration,Backend Only,P0,L,Sprint 2,/new-domain-dynamo,"likely: packages/registration-domain/**,apps/registration/**,packages/contracts/registration/**","DynamoDB domain. Persist REQUESTED. GSI1 eventId, GSI2 attendeeId. No duplicate non-cancelled reg per event."
Registration,"As an attendee, I want to view my registrations with cursor pagination so that I can manage them.",registration,Backend Only,P2,S,Sprint 2,/new-feature,"likely: packages/registration-domain/**,apps/registration/**","Query GSI2 (attendeeId), cursor paginated. Golden Rule #16 — no offset."
Event Eligibility (ACL),"As the system, I want registration to synchronously verify the event is OPEN and within its window before persisting so that nobody registers for a closed event.",cross-domain,Backend Only,P0,M,Sprint 2,/new-feature,"likely: packages/registration-domain/src/application/interfaces/**,packages/registration-domain/src/infrastructure/clients/**","ACL — apply sync-cross-service-call skill. IEventValidator validates status + window. getOutboundHeaders() (#24). Golden Rule #14."
Seat Reservation Saga,"As the system, I want a registration to atomically reserve a seat asynchronously so that two attendees cannot claim the last seat.",cross-domain,Event-Driven (SQS Consumer),P0,L,Sprint 3,/new-event-service,"likely: apps/event/event-event-handler-service/**,packages/contracts/registration/**,packages/contracts/event/**","Saga step 1 — apply choreography-saga skill. registration publishes REGISTRATION_REQUESTED; event-event-handler runs ReserveSeatUseCase (conditional atomic increment seatsReserved<capacity); replies SEAT_RESERVED | SOLD_OUT. Idempotent."
Seat Reservation Saga,"As an attendee, I want to be confirmed or waitlisted when the seat check returns so that I know if I am in.",cross-domain,Event-Driven (SQS Consumer),P0,M,Sprint 3,/new-event-service,"likely: apps/registration/registration-event-handler-service/**,packages/contracts/event/**","Saga step 2. registration-event-handler consumes SEAT_RESERVED/SOLD_OUT; REQUESTED->CONFIRMED | WAITLISTED. Replay = no-op (do not reserve twice)."
Registration,"As an attendee, I want to cancel my registration so that my seat is freed for the waitlist.",registration,Backend Only,P1,M,Sprint 4,/new-feature,"likely: packages/registration-domain/**,apps/registration/**,apps/event/event-event-handler-service/**","POST /registrations/:id/cancel publishes SEAT_RELEASED; event handler frees a seat and may promote head of waitlist. Idempotent."
Event Management,"As an organizer, I want a webapp dashboard of events with capacity/sold-out badges so that I can monitor sign-ups.",event,Webapp Only,P2,M,Sprint 4,/webapp-feature,"likely: apps/webapp/src/app/events/**,apps/webapp/src/components/events/**","Thin-orchestrator page + data-table + status-variants.ts. data-testid: events-table."
Registration,"As an attendee, I want a webapp page to browse open events and register so that I can self-serve.",registration,Full Stack Backend+Webapp,P1,L,Sprint 4,/full-stack-feature,"likely: packages/registration-domain/**,apps/registration/**,apps/webapp/src/app/register/**,packages/client-common/**","Client hooks in client-common. Form via react-hook-form + Zod from @old-st/contracts/registration."
Mobile Registration,"As an attendee, I want a mobile screen to register and show my ticket QR so that I can check in on site.",registration,Mobile Only,P3,L,Sprint 5,/mobile-feature,"likely: apps/mobile/**,packages/client-common/**","Reuses client-common hooks. Expo screen. Note: + mobile."
